Group,Species,dry_mass_g,Temp_C,Mortality_yr ,Ref
Bird,Milvus milvus,270,40,0.098,"1,2"
Bird,Mimus polyglottos,12.13,40,0.127,"1,2"
Bird,Mniotilta varia,2.65,40,0.226,"1,2"
Bird,Molothrus aeneus,16.68,40,0.746,"1,2"
Bird,Molothrus ater,10.98,40,0.15,"1,2"
Bird,Molothrus ater,12.25,40,0.161,"1,2"
Bird,Morus bassanus,749.9,40,0.125,"1,2"
Bird,Mycteria americana,594,40,0.4,"1,2"
Bird,Myiarchus cinerascens,6.8,40,0.286,"1,2"
Bird,Myiarchus cinerascens,6.8,40,0.538,"1,2"
Bird,Myiarchus crinitus,8.375,40,0.183,"1,2"
Bird,Myiarchus tyrannulus,10.95,40,0.259,"1,2"
Bird,Myiarchus tyrannulus,10.95,40,0.323,"1,2"
Bird,Myioborus pictus,1.975,40,0.394,"1,2"
Bird,Myioborus pictus,1.975,40,0.617,"1,2"
Bird,Nucifraga columbiana,33.75,40,0.146,"1,2"
Bird,Numenius arquata,201.4,40,0.08,"1,2"
Bird,Numenius phaeopus,101,40,0.233,"1,2"
Bird,Numenius tahitiensis,108.4,40,0.216,"1,2"
Bird,Nyctea scandiaca,510.6,40,0.273,"1,2"
Bird,Nyctea scandiaca,569.8,40,0.237,"1,2"
Bird,Nycticorax nycticorax,220.8,40,0.12,"1,2"
Bird,Nycticorax nycticorax,220.8,40,0.12,"1,2"
Bird,Nycticorax violaceus,170.6,40,0.413,"1,2"
Bird,Oceanodroma furcata,13.83,40,0.286,"1,2"
Bird,Oceanodroma furcata,13.83,40,0.435,"1,2"
Bird,Oceanodroma homochroa,9.225,40,0.323,"1,2"
Bird,Oceanodroma leucorhoa,9.95,40,0.081,"1,2"
Bird,Oceanodroma leucorhoa,9.95,40,0.087,"1,2"
Bird,Oceanodroma leucorhoa,9.95,40,0.105,"1,2"
Bird,Oceanodroma tristrami,21,40,0.262,"1,2"
Bird,Oporonis tolmiei,2.6,40,0.649,"1,2"
Bird,Oporornis agilis,3.8,40,0.617,"1,2"
Bird,Oporornis formosus,3.575,40,0.435,"1,2"
Bird,Oporornis philadelphia,3.25,40,0.327,"1,2"
Bird,Oporornis tolmiei,2.6,40,0.649,"1,2"
Bird,Otus asio,45.13,40,0.179,"1,2"
Bird,Otus flammeolus,13.89,40,0.318,"1,2"
Bird,Otus kennicottii,42.25,40,0.198,"1,2"
Bird,Oxyura jamaicensis,147.5,40,0.187,"1,2"
Bird,Pagodroma nivea,67,40,0.127,"1,2"
Bird,Pagophila eburnea,154,40,0.149,"1,2"
Bird,Pagophila eburnea,154,40,0.323,"1,2"
Bird,Pandion haliaetus,371.4,40,0.115,"1,2"
Bird,Parabuteo unicinctus,215.8,40,0.233,"1,2"
Bird,Parabuteo unicinctus,215.8,40,0.256,"1,2"
Bird,Parabuteo unicinctus,220.6,40,0.202,"1,2"
Bird,Parula americana,2.15,40,0.538,"1,2"
Bird,Parus atricapillus,2.7,40,0.206,"1,2"
Bird,Parus atricapillus,2.75,40,0.361,3
Bird,Parus bicolor ssp.,5.4,40,0.192,"1,2"
Bird,Parus bicolor ssp.,5.4,40,0.549,"1,2"
Bird,Parus carolinensis,2.538,40,0.235,"1,2"
Bird,Parus cinctus,3.1,40,0.37,"1,2"
Bird,Parus gambeli,2.875,40,0.254,"1,2"
Bird,Parus hudsonicus,2.45,40,0.562,"1,2"
Bird,Parus inornatus,4.375,40,0.323,
Bird,Parus major,4.75,40,0.756,3
Bird,Parus major,4.75,40,0.989,3
Bird,Parus rufescens,2.425,40,0.331,"1,2"
Bird,Parus sclateri,2.75,40,0.526,"1,2"
Bird,Parus wollweberi,2.6,40,0.394,"1,2"
Bird,Passer domesticus,6.925,40,0.192,"1,2"
Bird,Passer montanus,5.5,40,0.667,"1,2"
Bird,Passerculus sandwichensis,4.28,40,0.427,"1,2"
Bird,Passerella iliaca,8.075,40,0.265,"1,2"
Bird,Passerina amoena,3.875,40,0.289,"1,2"
Bird,Passerina amoena,4,40,0.538,"1,2"
Bird,Passerina ciris,3.75,40,0.244,"1,2"
Bird,Passerina cyanea,3.525,40,0.233,"1,2"
Bird,Passerina cyanea,3.725,40,0.233,"1,2"
Bird,Passerina cyanea,3.75,40,0.429,3
Bird,Passerina cyanea,3.75,40,0.454,3
Bird,Pelecanus erythrorhynchos,1750,40,0.096,"1,2"
Bird,Pelecanus erythrorhynchos,1750,40,0.159,"1,2"
Bird,Pelecanus occidentalis,859.5,40,0.129,"1,2"
Bird,Perdix perdix,97.38,40,0.508,"1,2"
Bird,Perisoreus canadensis,18.25,40,0.132,"1,2"
Bird,Perisoreus canadensis,18.25,40,0.159,"1,2"
Bird,Perisoreus canadensis,18.25,40,0.182,"1,2"
Bird,Pernis apivorus,189.5,40,0.087,"1,2"
Bird,Phalacrocorax auritas,418.5,40,0.142,"1,2"
Bird,Phalacrocorax carbo,527.4,40,0.141,"1,2"
Bird,Phalacrocorax carbo,527.4,40,0.178,"1,2"
Bird,Phalacrocorax pelagicus,467,40,0.142,"1,2"
Bird,Phalacrocorax penicillatus,525.8,40,0.273,"1,2"
Bird,Phalaenoptilus nuttallii,12.9,40,0.909,"1,2"
Bird,Phalaropus tricolor,14.99,40,0.256,"1,2"
Bird,Pheucticus ludovicianus,11.4,40,0.355,"1,2"
Bird,Pheucticus melanocephalus,10.45,40,0.282,"1,2"
Bird,Phoenicopterus ruber,758.8,40,0.076,"1,2"
Bird,Phoenicopterus ruber,758.8,40,0.193,"1,2"
Bird,Phylloscopus borealis,2.65,40,0.877,"1,2"
Bird,Pica nuttalli,36,40,0.259,"1,2"
Bird,Pica nuttalli,39.75,40,0.256,"1,2"
Bird,Pica pica,44.38,40,0.442,"1,2"
Bird,Pica pica,44.38,40,0.526,"1,2"
Bird,Picoides borealis,10.9,40,0.185,"1,2"
Bird,Picoides borealis,10.9,40,0.213,"1,2"
Bird,Picoides pubescens,6.75,40,0.224,"1,2"
Bird,Picoides scalaris,7.575,40,0.588,"1,2"
Bird,Picoides villosus,15.63,40,0.161,"1,2"
Bird,Pinicola enucleator,14.1,40,0.265,"1,2"
Bird,Pipilo aberti,11.49,40,0.299,"1,2"
Bird,Pipilo chlorurus,7.35,40,0.336,"1,2"
Bird,Pipilo erythrophthalmus,10.43,40,0.207,"1,2"
Bird,Pipilo erythrophthalmus ssp.,10.43,40,0.239,"1,2"
Bird,Pipilo fuscus,11.1,40,0.199,"1,2"
Bird,Piranga ludoviciana,7.025,40,0.327,"1,2"
Bird,Piranga olivicea,7.15,40,0.254,"1,2"
Bird,Piranga rubra,7.05,40,0.355,"1,2"
Bird,Piranga rubra,7.05,40,0.435,"1,2"
Bird,Platalea leucorodia,473,40,0.09,"1,2"
Bird,Plectrophenax hyperboreus,13.63,40,0.549,"1,2"
Bird,Plectrophenax nivalis,10.55,40,0.292,"1,2"
Bird,Plegadis chihi,155.4,40,0.175,"1,2"
Bird,Pluvialis dominica,36.25,40,0.549,"1,2"
Bird,Pluvialis squatarola,55,40,0.125,"1,2"
Bird,Pluvialis squatarola,55,40,0.201,"1,2"
Bird,Podiceps auritus,113.3,40,0.505,"1,2"
Bird,Podiceps grisegena,255.8,40,0.549,"1,2"
Bird,Podiceps nigricollis,73,40,0.505,"1,2"
Bird,Polioptila caerulea,1.5,40,0.633,"1,2"
Bird,Polyborus plancus,223.4,40,0.289,"1,2"
Bird,Polysticta stelleri,193.3,40,0.207,"1,2"
Bird,Polysticta stelleri,210.5,40,0.178,"1,2"
Bird,Pooecetes gramineus,6.425,40,0.327,"1,2"
Bird,Pooecetes gramineus,6.425,40,0.376,"1,2"
Bird,Procellaria parkinsoni,168.8,40,0.149,"1,2"
Bird,Procelsterna cerulea,13.25,40,0.182,"1,2"
Bird,Procelsterna cerulea,13.25,40,0.233,"1,2"
Bird,Progne subis,12.35,40,0.185,"1,2"
Bird,Protonotaria citrea,3.75,40,0.538,"1,2"
Bird,Pterodroma alba,68,40,0.226,"1,2"
Bird,Pterodroma hypoleuca,44,40,0.239,"1,2"
Bird,Pterodroma leucoptera,31.25,40,0.127,"1,2"
Bird,Pterodroma macroptera,133.1,40,0.141,"1,2"
Bird,Pterodroma phaeopygia,108.5,40,0.37,"1,2"
Bird,Ptychoramphus aleuticus,47,40,0.251,"1,2"
Bird,Ptychoramphus aleuticus,47,40,0.435,"1,2"
Bird,Ptychoramphus aleuticus,47,40,0.459,"1,2"
Bird,Puffinus auricularis,80.75,40,0.515,"1,2"
Bird,Puffinus gravis,212.3,40,0.365,"1,2"
Bird,Puffinus lherminieri,42,40,0.133,"1,2"
Bird,Puffinus nativitatis,89,40,0.237,"1,2"
Bird,Puffinus pacificus,97,40,0.151,"1,2"
Bird,Puffinus pacificus,97,40,0.182,"1,2"
Bird,Puffinus puffinus,113.3,40,0.084,"1,2"
Bird,Puffinus puffinus,113.3,40,0.549,"1,2"
Bird,Puffinus tenuirostris,135.8,40,0.084,"1,2"
Bird,Puffinus tenuirostris,135.8,40,0.08,3
Bird,Pycnonotus jocusus,6.85,40,0.667,"1,2"
Bird,Pyrocephalus rubinus,3.6,40,0.476,"1,2"
Bird,Quiscalus major,41.63,40,0.215,"1,2"
Bird,Quiscalus mexicanus,47.75,40,0.204,"1,2"
Bird,Quiscalus quiscula,31.75,40,0.121,"1,2"
Bird,Rallus longirostris,80.75,40,0.345,"1,2"
Bird,Recurvirostra americana,79,40,0.286,"1,2"
Bird,Regulus calendula,1.663,40,0.467,"1,2"
Bird,Regulus satrapa,1.575,40,0.495,"1,2"
Bird,Rhynchops niger,75.38,40,0.127,"1,2"
Bird,Riparia riparia,3.65,40,0.323,"1,2"
Bird,Rissa brevirostris,97.75,40,0.667,"1,2"
Bird,Rissa tridactyla,98.25,40,0.135,3
Bird,Rissa tridactyla,101.8,40,0.37,"1,2"
Bird,Rissa tridactyla,101.8,40,0.526,"1,2"
Bird,Rissa tridactyla,105.3,40,0.196,3
Bird,Rostrhamus sociabilis,94.5,40,0.149,"1,2"
Bird,Rostrhamus sociabilis,94.5,40,0.37,"1,2"
Bird,Sayornis nigricans,4.663,40,0.323,"1,2"
Bird,Sayornis nigricans,4.663,40,0.909,"1,2"
Bird,Sayornis phoebe,4.95,40,0.282,"1,2"
Bird,Scolopax minor,54.75,40,0.226,"1,2"
Bird,Scolopax minor,54.75,40,0.276,"1,2"
Bird,Seiurus aurocapillus,4.85,40,0.286,"1,2"
Bird,Seiurus motacilla,5.075,40,0.323,"1,2"
Bird,Seiurus novaeboracensis,4.45,40,0.289,"1,2"
Bird,Selasphorus platycercus,0.875,40,0.365,"1,2"
Bird,Selasphorus platycercus,0.8875,40,0.323,"1,2"
Bird,Selasphorus platycercus,0.9,40,0.209,"1,2"
Bird,Selasphorus platycercus,0.9,40,0.211,"1,2"
Bird,Selasphorus rufus,0.875,40,0.649,"1,2"
Bird,Selasphorus sasin,0.7875,40,0.667,"1,2"
Bird,Selasphorus sasin,0.8,40,0.685,"1,2"
Bird,Setophaga ruticilla,2.125,40,0.256,"1,2"
Bird,Sialia currucoides,7.4,40,0.549,"1,2"
Bird,Sialia mexicanus,7.25,40,0.617,"1,2"
Bird,Sialia sialis,7.9,40,0.323,"1,2"
Bird,Sitta canadensis,2.45,40,0.345,"1,2"
Bird,Sitta carolinensis,5.275,40,0.262,"1,2"
Bird,Sitta pusilla,2.55,40,0.45,"1,2"
Bird,Sitta pygmaea,2.65,40,0.314,"1,2"
Bird,Somateria mollissima,478.8,40,0.119,"1,2"
Bird,Somateria mollissima,478.8,40,0.172,"1,2"
Bird,Somateria mollissima,516.6,40,0.11,"1,2"
Bird,Somateria spectabilis,391.8,40,0.134,"1,2"
Bird,Spheniscus magellanicus,1125,40,0.196,"1,2"
Bird,Sphyrapicus varius,12.58,40,0.382,"1,2"
Bird,Spiza americana,7.325,40,0.667,"1,2"
Bird,Spizella arborea,5.025,40,0.254,"1,2"
Bird,Spizella breweri,2.725,40,0.505,"1,2"
Bird,Spizella pallida,3,40,0.515,"1,2"
Bird,Spizella passerina,3.075,40,0.262,"1,2"
Bird,Spizella pusilla,3.125,40,0.292,"1,2"
Bird,Spizella pusilla,3.125,40,0.331,"1,2"
Bird,Sporophila torqueola,2.175,40,0.218,"1,2"
Bird,Stelgidopteryx ruficollis,3.8,40,0.442,"1,2"
Bird,Stellula calliope,0.6625,40,0.435,"1,2"
Bird,Stellula calliope,0.7,40,0.427,"1,2"
Bird,Stercorarius longicaudus,74.13,40,0.318,"1,2"
Bird,Sterna albifrons,14.25,40,0.12,"1,2"
Bird,Sterna antillarum,10.78,40,0.105,"1,2"
Bird,Sterna caspia,163.8,40,0.096,"1,2"
Bird,Sterna dougallii,27.5,40,0.182,"1,2"
Bird,Sterna dougallii,27.5,40,0.211,"1,2"
Bird,Sterna elegans,64.25,40,0.289,"1,2"
Bird,Sterna forsteri,39.5,40,0.213,"1,2"
Bird,Sterna forsteri,39.5,40,0.249,"1,2"
Bird,Sterna fuscata,45,40,0.079,"1,2"
Bird,Sterna lunata,36.5,40,0.141,"1,2"
Bird,Sterna lunata,36.5,40,0.157,"1,2"
Bird,Sterna maxima,117.5,40,0.114,"1,2"
Bird,Sterna maxima,117.5,40,0.149,"1,2"
Bird,Sterna nilotica,58.25,40,0.159,"1,2"
Bird,Sterna nilotica,58.25,40,0.413,"1,2"
Bird,Sterna paradisaea,27.5,40,0.074,"1,2"
Bird,Sterna sandvicensis,52,40,0.158,"1,2"
Bird,Streptopelia chinensis,39.75,40,0.336,"1,2"
Bird,Strix nebulosa,243.5,40,0.286,"1,2"
Bird,Strix nebulosa,289.8,40,0.196,"1,2"
Bird,Strix occidentalis,152.4,40,0.149,"1,2"
Bird,Strix varia,179.1,40,0.139,"1,2"
Bird,Strix varia,200.3,40,0.254,"1,2"
Bird,Sturnella magna,22.25,40,0.286,"1,2"
Bird,Sturnus vulgaris,20.58,40,0.119,"1,2"
Bird,Sula (= Morus) bassanus,749.9,40,0.101,"1,2"
Bird,Sula (= Morus) bassanus,749.9,40,0.124,"1,2"
Bird,Sula dactylatra,438.1,40,0.1,"1,2"
Bird,Sula dactylatra,438.1,40,0.11,"1,2"
Bird,Sula leucogaster,345.5,40,0.103,"1,2"
Bird,Sula leucogaster,345.5,40,0.158,"1,2"
Bird,Sula serrator,587.5,40,0.076,"1,2"
Bird,Sula sula,250.8,40,0.11,"1,2"
Bird,Sula sula,250.8,40,0.115,"1,2"
Bird,Synthliboramphus antiquus,51.5,40,0.526,"1,2"
Bird,Synthliboramphus antiquus,51.5,40,0.602,"1,2"
Bird,Synthliboramphus hypoleucus,41.75,40,0.169,"1,2"
Bird,Synthliboramphus hypoleucus,41.75,40,0.262,"1,2"
Bird,Tachybaptus ruficollis,50.25,40,0.196,"1,2"
Bird,Tachycineta bicolor,5.025,40,0.233,"1,2"
Bird,Tachycineta bicolor,5.025,40,0.289,"1,2"
Bird,Tachycineta thalassina,3.6,40,0.382,"1,2"
Bird,Telespyza cantans,8.2,40,0.435,"1,2"
Bird,Threskiornis aethiopicus,374.5,40,0.12,"1,2"
Bird,Thryomanes bewickii,2.475,40,0.323,"1,2"
Bird,Thryomanes bewickii,2.475,40,0.34,"1,2"
Bird,Thryothorus ludovicianus,4.675,40,0.427,"1,2"
Bird,Toxostoma bendirei,15.55,40,0.633,"1,2"
Bird,Toxostoma curvirostre,19.85,40,0.237,"1,2"
Bird,Toxostoma lecontei,15.48,40,0.459,"1,2"
Bird,Toxostoma longirostre,17.48,40,0.355,"1,2"
Bird,Toxostoma redivivum,21.1,40,0.376,"1,2"
Bird,Toxostoma rufum,17.2,40,0.199,"1,2"
Bird,Tringa flavipes,20.25,40,0.549,"1,2"
Bird,Tringa macularia,10.1,40,0.213,"1,2"
Bird,Troglodytes aedon,2.725,40,0.365,"1,2"
Bird,Troglodytes troglodytes,2.225,40,0.649,"1,2"
Bird,Turdoides squamiceps,18.5,40,0.297,3
Bird,Turdoides squamiceps,18.5,40,0.097,3
Bird,Turdus migratorius,19.33,40,0.183,"1,2"
Bird,Tympanuchus cupido,221.4,40,2,"1,2"
Bird,Tympanuchus pallidicinctus,188.9,40,0.189,"1,2"
Bird,Tympanuchus phasianellus,208.9,40,0.413,"1,2"
Bird,Tyrannus tyrannus,10.9,40,0.259,"1,2"
Bird,Tyrannus verticalis,9.9,40,0.376,"1,2"
Bird,Uria aalge,248.1,40,0.096,"1,2"
Bird,Uria lomvia,241,40,0.111,"1,2"
Bird,Vermivora celata,2.25,40,0.382,"1,2"
Bird,Vermivora chrysoptera,2.175,40,0.327,"1,2"
Bird,Vermivora luciae,1.65,40,0.45,"1,2"
Bird,Vermivora peregrina,2.45,40,0.407,"1,2"
Bird,Vermivora pinus,2.1,40,0.327,"1,2"
Bird,Vermivora ruficapilla,2.15,40,0.355,"1,2"
Bird,Vermivora virginiae,1.95,40,0.649,"1,2"
Bird,Vermivora virginiae,1.95,40,0.847,"1,2"
Bird,Vireo atricapillus,2.125,40,0.37,"1,2"
Bird,Vireo bellii,2.125,40,0.376,"1,2"
Bird,Vireo flavifrons,4.5,40,0.427,"1,2"
Bird,Vireo gilvus,3.7,40,0.195,"1,2"
Bird,Vireo griseus,2.85,40,0.355,"1,2"
Bird,Vireo huttoni,2.9,40,0.4,"1,2"
Bird,Vireo olivaceus,4.175,40,0.256,"1,2"
Bird,Vireo philadelphicus,3.05,40,0.292,"1,2"
Bird,Vireo solitarius,4.15,40,0.35,"1,2"
Bird,Wilsonia canadensis,2.55,40,0.327,"1,2"
Bird,Wilsonia canadensis,2.625,40,0.323,"1,2"
Bird,Wilsonia citrina,2.613,40,0.323,"1,2"
Bird,Wilsonia pusilla,1.825,40,0.382,"1,2"
Bird,Xanthocephalus xanthocephalus,19.93,40,0.235,"1,2"
Bird,Zenaida asiatica,38.25,40,0.116,"1,2"
Bird,Zenaida macroura,29.75,40,0.131,"1,2"
Bird,Zonotrichia albicollis,6.475,40,0.265,"1,2"
Bird,Zonotrichia atricapilla,7.45,40,0.244,"1,2"
Bird,Zonotrichia leucophrys ssp.,7.35,40,0.192,"1,2"
Bird,Zonotrichia querula,9.063,40,0.218,"1,2"
Bird,Zosterops japonicus,2.5,40,0.515,"1,2"
Fish,Abramis brama,398,8,0.165,5
Fish,Acipenser transmontanus,24200,10,0.05,5
Fish,Acipenser transmontanus,42500,22,0.03,5
Fish,Acipsnser fulvescens,9000,8,0.01,5
Fish,Ammodytes marinus,8.03,11,1.24,5
Fish,Ammodytes tobianus,3.75,11,1.29,5
Fish,Aphinius fasciatus,0.625,15,2.6,5
Fish,Aphinius fasciatus,1,15,1.8,5
Fish,Apsilus dentatus,1000,27,0.83,5
Fish,Apsilus dentatus,1130,27,1.9,5
Fish,Bajacalifornia burragei,2.45,4,1.039,7
Fish,Balistes vetula,730,27,2.61,5
Fish,Bathylagus milleri,7.5,5.5,1.217,7
Fish,Benthosema glaciale,0.56,13,1.521,6
Fish,Benthosema glaciale,1.4,7,1.75,5
Fish,Benthosema glaciale,1.43,7,0.74,5
Fish,Blennius pholis,13.5,17,0.9,5
Fish,Borostomias panamensis,12.5,5.5,1.097,7
Fish,Brevoortia tyrannus,35.3,23,1,5
Fish,Brevoortia tyrannus,216,13,0.5,5
Fish,Callionymus lyra,1.95,12,0.96,5
Fish,Callionymus lyra,6.75,12,0.86,5
Fish,Caranx ruber,623,27,1.51,5
Fish,Centengraulis mysticetus,14,24,2.4,5
Fish,Cephalopholis fulva,160,27,0.55,5
Fish,Cetorhinus maximus,3450000,10,0.046,5
Fish,Chelodactylus macropterus,348,14,0.08,5
Fish,Clupea harengus,13.8,8,0.35,5
Fish,Clupea harengus,40,9,0.36,5
Fish,Clupea harengus,48.3,12,0.2,5
Fish,Clupea harengus,50,11,0.25,5
Fish,Clupea harengus,87.5,8,0.16,5
Fish,Clupea pallassii,52.3,10,0.5,5
Fish,Clupea pallassii,131,12,0.2,5
Fish,Cololabis aira,47.3,12,1.6,5
Fish,Coregonus clupeaformis,6.75,5,1.3,5
Fish,Coregonus clupeaformis,708,5,0.15,5
Fish,Coregonus clupeaformis,1050,5,1.35,5
Fish,Coregonus clupeaformis,1560,5,0.17,5
Fish,Coryphaennoides acrolepis,450,3.2,0.822,"9,14"
Fish,Coryphaenoides rupestris,239,9.5,0.12,"9,13"
Fish,Cottus gobio,1.08,9,1.1,5
Fish,Cottus gobio,1.08,9,0.8,5
Fish,Cottus gobio,1.48,9,1.1,5
Fish,Cottus gobio,1.53,9,0.9,5
Fish,Cyclothone braueri,0.131,10,4.867,6
Fish,Cynoglossus macrolepidus,42.5,27,0.49,5
Fish,Cynolebias adloffi,0.375,22,6.348,4
Fish,Cynolebias adloffi,0.625,16,3.476,4
Fish,Cynolebias bellottii,0.65,15,3.862,4
Fish,Cynolebias bellottii,0.65,20,5.214,4
Fish,Cynolebias wolterstarfii,1.25,15.5,3.395,4
Fish,Cynolebias wolterstarfii,1.25,20,5.84,4
Fish,Cynoscion analis,368,18,0.4,5
Fish,Cynoscion macdonaldi,4450,27,0.3,5
Fish,Cynoscion nobilis,6980,24,0.3,5
Fish,Dicentrarchus labrax,1720,10,0.1,5
Fish,Engraulis anchoita,12.5,16,0.9,5
Fish,Engraulis anchoita,53,16,1.42,5
Fish,Engraulis encrasicholus,6,15,1.8,5
Fish,Engraulis japonicus,9,20,1.63,5
Fish,Engraulis mordax,5.25,15,1.7,5
Fish,Engraulis ringens,6,16,1.52,5
Fish,Engraulis ringens,9.25,16,1,5
Fish,Eopsetta jordani,993,9,0.2,5
Fish,Eopsetta jordani,1140,9,0.25,5
Fish,Epinephelus guttatus,470,27,0.68,5
Fish,Epinephelus striatus,3230,27,0.24,5
Fish,Esox lucius,823,9,0.24,5
Fish,Esox lucius,2200,9,0.26,5
Fish,Gadus minitus,14.9,12,1.1,5
Fish,Gadus minitus,39.5,12,0.9,5
Fish,Gadus morhua,750,8,0.18,5
Fish,Gadus morhua,2040,6,0.44,5
Fish,Gadus morhua,2700,5,0.31,5
Fish,Gadus morhua,2750,7,0.33,5
Fish,Gadus morhua,2930,6,0.2,5
Fish,Gadus morhua,3750,6,0.1,5
Fish,Gadus morhua,4100,8,0.17,5
Fish,Gadus morhua,5000,8,0.2,5
Fish,Gadus morhua,6000,5,0.1,5
Fish,Gasterosteus aculeatus,0.45,10,0.9,5
Fish,Haemulon album,1330,27,0.79,5
Fish,Haemulon plumieri,340,27,1.77,5
Fish,Haplochromis anaphyrmus,27.8,26,1.45,5
Fish,Haplochromis mloto,18.5,26,0.92,5
Fish,Hippoglossoides platessoides,173,11,0.3,5
Fish,Hippoglossoides platessoides,310,15,0.27,5
Fish,Hippoglossoides platessoides,415,14,0.25,5
Fish,Hippoglossoides platessoides,510,7,0.26,5
Fish,Hippoglossoides platessoides,515,11,0.22,5
Fish,Hippoglossoides platessoides,545,15,0.18,5
Fish,Hippoglossoides platessoides,713,14,0.23,5
Fish,Hippoglossoides platessoides,955,7,0.18,5
Fish,Hoplostethus atlanticus,540,4,0.048,"9,12"
Fish,Hypomesus olidus,3.75,16,2.45,5
Fish,Katsuwonus pelamis,2530,25,0.65,5
Fish,Katsuwonus pelamis,8080,25,1.68,5
Fish,Lamna nasus,41800,7,0.18,5
Fish,Lampanyctus macdonaldi,0.725,10.25,1.014,6
Fish,Lampanyctus regalis,0.725,6,1.329,7
Fish,Latimeria chalumnae,20000,16,0.2,"8,9"
Fish,Leiognathus splendens,16,28,1.8,5
Fish,Lethrinops longispinis,30.5,26,1.69,5
Fish,Lethrinops parvidens,33,26,1.2,5
Fish,Leucichthys artedi,17.5,8,1.1,5
Fish,Leucichthys artedi,23.8,8,1.2,5
Fish,Leucichthys artedi,150,8,0.35,5
Fish,Leucichthys sardinella,138,5,0.6,5
Fish,Limanda ferruginea,295,10,0.15,5
Fish,Lithrinus enigmaticus,730,27,0.2,5
Fish,Lutjanus apodus,950,27,0.54,5
Fish,Lutjanus buccanella,473,27,1.83,5
Fish,Lutjanus buccanella,800,27,2.24,5
Fish,Lutjanus purpureus,2930,27,0.37,5
Fish,Mallotus villosus,15,11,1.3,5
Fish,Maurolicus muelleri,0.125,13,4.867,6
Fish,Melanogrammus aeglefinus,538,5,0.2,5
Fish,Merluccius angustimanus,63.8,20,0.84,5
Fish,Merluccius gayi,1460,14,0.37,5
Fish,Merluccius merluccius,156,15,0.6,5
Fish,Merluccius merluccius,395,15,0.5,5
Fish,Merluccius productus,318,12,0.56,5
Fish,Mugil cephalus,613,20,0.31,5
Fish,Mulloidichthys martinicus,90,27,1.73,5
Fish,Mulloidichthys martinicus,130,27,1.7,5
Fish,Mycteroperca venenosa,2080,27,0.42,5
Fish,Myctophum punctatum,1.65,15,0.73,5
Fish,Nemipterus bleekeri,75,28,1.12,5
Fish,Nemipterus delagoe,60,28,1.62,5
Fish,Nemipterus hexodon,53.8,28,0.88,5
Fish,Nemipterus japonicus,63.8,28,1.88,5
Fish,Nemipterus marginatus,52.5,28,1.73,5
Fish,Nemipterus marginatus,57.5,28,1.14,5
Fish,Nemipterus mesoprion,18.8,28,1.08,5
Fish,Nemipterus nematophorus,50,28,1.63,5
Fish,Nemipterus nemurus,61.3,28,1.03,5
Fish,Nemipterus peronii,64.3,28,1.05,5
Fish,Nemipterus sp.,102,28,0.53,5
Fish,Nemipterus tolu,57.5,28,0.41,5
Fish,Notothenia neglecta,545,16,0.36,5
Fish,Ocyurus chrysurus,900,27,0.62,5
Fish,Perca fluviatilis,109,6,0.29,5
Fish,Perca fluviatilis,158,6,0.16,5
Fish,Phoxinus phoxinus,2.05,9,1.1,5
Fish,Platichthys flesus,260,8,0.18,5
Fish,Pleuronectes platessa,228,7,0.22,5
Fish,Pleuronectes platessa,858,7,0.12,5
Fish,Pneumatophorus japonicus,203,15,0.9,5
Fish,Pollachius virens,2900,6,0.15,5
Fish,Pollachius virens,4130,5,0.3,5
Fish,Pollachius virens,5030,5,0.3,5
Fish,Pomatoschistus minutus,1,10,3.3,5
Fish,Poromitra crassiceps,3.53,6.5,0.677,7
Fish,Pseudopleuronectes americanus,345,5,0.4,5
Fish,Pseudosciaena diacanthus,4350,27,0.8,5
Fish,Pseudotolithus elongatus,179,26,0.34,5
Fish,Pseudoupeneus macularus,90,27,1.89,5
Fish,Pungitius pungitius,0.1,10,1.1,5
Fish,Restrelliger kanagurta,38.5,27,7.8,5
Fish,Restrelliger kanagurta,40,28,4.44,5
Fish,Restrelliger neglectus,21,28,4.2,5
Fish,Restrelliger neglectus,27.5,28,7.22,5
Fish,Restrelliger neglectus,51.3,28,4.56,5
Fish,Salmo trutta,75,9,0.94,5
Fish,Salmo trutta,125,5,0.31,5
Fish,Salvelinus alpinus,1250,7,0.17,5
Fish,Sardinella longiceps,15.8,27,0.67,5
Fish,Sardinella longiceps,16.5,27,1.12,5
Fish,Sardinops caerrula,56.3,15,0.45,5
Fish,Sardinops caerrula,84.3,15,0.4,5
Fish,Sardinops melanosticta,52.3,15,0.5,5
Fish,Saurida tumbil,588,17,0.46,5
Fish,Sebastes aleutianus,9380,4.5,0.029,"9,10,11"
Fish,Sebastes alutus,200,5,0.193,5
Fish,Sebastes alutus,270,6,0.271,5
Fish,Sebastes alutus,340,8,0.227,5
Fish,Sebastes alutus,1420,4.5,0.06,"9,10,11"
Fish,Sebastes babcocki,1960,5.5,0.057,"9,10,11"
Fish,Sebastes borealis,9300,4.5,0.038,"9,10,11"
Fish,Sebastes brevispinis,1960,7,0.073,"9,10,11"
Fish,Sebastes caurinus,778,6.5,0.109,"9,10,11"
Fish,Sebastes chlorostictus,545,7,0.182,"9,10,11"
Fish,Sebastes ciliatus,1030,6,0.09,"9,10,11"
Fish,Sebastes constellatus,410,7,0.188,"9,10,11"
